Product category,Product name,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,22-Jan,22-Feb
A,A 20470 BROW 73 CART 300 WLOS WZJG,985,,,,,,,,,,,,259,,259,,,259,,259,,,,259
A,A 20470 BLAC 06 CART 300 WLWD WZJG,,,,,,,871,,6428,6615,,,1628,1503,1534,1369,1182,1337,1493,1545,1503,881,259,353
A,A 20470 WHIT S7 CART 300 WLWD WZJG,,,,,,,664,,5360,6636,,,1493,1369,1410,1244,1078,1223,1369,1420,1369,809,259,259
A,A 9890 TRAN S1 CART 300 WL121 WZJG SEA,"1,112",,,,,,1112,1112,,803,,,1299,185,,185,185,185,185,185,,185,185,185
A,A 9890 BLACK S1 CART 300 WL121 WZJG SEA,"2,301",,,,374,,2246,1498,,1872,,406,1693,314,329,307,322,329,314,322,314,322,337,300
A,A 20242.3 ANTH16 200KG DRUM ST,"15,257",,,,,,,,,,,4554,4514,1505,2257,752,1505,1505,1505,1505,1505,1505,1505,1505
A,A 20242.3 ANTH15 200KG DRUM ST,,,,,,,,,,,,3036,3070,,,,,,,,,,,
A,A N9111 CN GREY S1 270KG DRUM ST,,,,,,940,,,,,,,,998,,,,,,998,,,,
A,A N9111 CN WHITE S1 270KGDRUN ST,,,"5,142",910,930,3043,2978,3009,2054,8779,1050,8091,3992,2992,2992,3990,2992,3990,3990,3990,2992,4987,2992,2992
D,D XTURE,"5,200","24,993","1,000",1600,11475,4000,5200,5000,3200,13000,2600,800,,,,,,,,,,,,
A,A Y 99 270KG DRUM ST,,,,,,,,,1928,,,,927,,,927,,,,927,927,,927,
E,E  CN BLAC 05 CART 300 SIKNM,,,,,,,,,,,,526,263,,263,,,,263,,,263,,
E,E  CN BLAC 05 CART 300 SIKZH,,,,,1577,,,526,526,526,,,438,296,296,285,263,263,263,263,263,263,329,329
E,E  CN BRON S2 CART 300 SIKZH,,"1,029",,,,,,2146,,,4249,,2190,274,263,263,263,263,263,263,,263,263,307
E,E  CN GREY S1 CART 300 SIKNM,,,,,,,,,,,,,263,,,263,,,263,,,,263,
E,E  CN GREY S3 CART 300 SIKZH,,526,"1,073",,1051,2332,350,,,1599,,,580,668,635,657,569,394,602,657,591,624,734,723
E,E  CN GREY S4 CART 300 SIKZH,,"6,450","1,029",526,1051,2070,7764,,975,,5749,2639,2190,1653,1522,1643,1292,690,1413,1653,1380,1511,1851,1862
E,E  CN WHIT 19 CART 300 SIKNM,,,,,,,526,1478,,,,504,482,329,361,329,339,350,339,296,274,329,350,318
E,E  CN BLAC 05 SAUS 600 SIKHY,"9,689","5,712","6,868",5449,2838,8480,11248,20078,8462,4958,5606,4257,10197,5712,6062,5519,5063,5554,5747,5799,5589,6062,6640,5729
E,E  CN BRON S2 SAUS 600 SIKHY,,,,,2856,,,,,1174,,,578,385,420,368,263,263,385,403,368,420,508,456
E,E  CN GREY S6 SAUS 600 SIKHY,,,"1,069",,1437,1524,,1051,,,,,771,578,596,543,438,456,561,543,508,596,683,613
E,E  CN WHIT 19 SAUS 600 SIKHY,,,,,,,,,,,,,648,420,438,420,438,438,420,438,420,438,456,403
E,E  CN GREY S1 SAUS 600 SIKHY,,,,,,,,,,,,,368,298,298,280,263,280,280,298,298,298,315,298
A,A 11500 BLAC S1 200KG DRUM ST,"16,802","12,000",,16002,16000,,24800,,32000,,3000,,11200,84800,25600,25600,12000,12800,60000,29600,35200,60800,12000,12000
A,A 11500 WHIT S1 200KG DRUM ST,,,,,,12600,19800,,7200,,2800,,5600,5600,4800,4800,3200,2400,5600,4000,4000,4800,4800,4000
A,A 13800 TRAN S1 200KG DRM 567 ST,,,,,,,,,,,,,,,,,,,,,,4400,5000,4200
A,A 13800 BLAC S1 200KG DRUM 567 ST,,,,,,,,,,,,,,,,,,,,,,1200,2400,2200
A,A 13800 WHIT S1 200KG DRUM 567 ST,,,,,,,,,,,,,,,,,,,,,,6400,7600,6400
A,A 13800 ALUM 03 200KG DRUM 567 ST,,,,,,,,,,,,,,,,,,,,,,,2400,2400
A,A 13800 ALUM 13 CART 250 WLAS SEA ZJG,,,,294,588,,294,294,882,,,,147,147,178,190,190,190,190,190,190,190,202,178
A,A 13800 BLAC S1 CART 250 WLAS SEA ZJG,296,,296,296,296,296,593,,593,,,,204,284,296,284,290,296,284,290,284,290,309,272
A,A 13800 TRAN S1 CART 250 WLAS SEA ZJG,,,886,295,295,886,886,,2066,,,,357,492,517,492,504,517,492,517,492,504,541,467
A,A 13800 WHIT S1 CART 250 WLAS SEA ZJG,,,593,296,593,889,296,593,296,889,,,364,500,525,500,513,525,500,525,500,513,550,475
A,A 11270 TRAN S1 ZJG BARR 200KG,,,400,,91440,188200,43600,28800,106000,58880,110400,,222418,109272,87351,73373,67334,72899,72623,139293,7989,62419,63326,70125
A,A 11040 BRON S4 200KG DRUM ST,,"4,000",,,,,,,14400,,,,,3200,1400,1400,1200,1400,1800,2400,2800,2600,2800,2800
A,A 11270 WHIT S1 ZJG BARR 200KG,,,"10,400",,,6000,8400,,19200,,,,28800,6611,6611,7438,3306,6924,9664,3777,8626,8509,9160,9160
A,A 11270 BLAC S1 ZJG BARR 200KG,,,"74,400",28800,44800,,4400,,9200,,4800,,53436,39282,26445,20346,12440,16334,15524,13847,19930,21476,19717,17897
A,A 20700 GREY 100 200KG DRUM,742,,745,734,,769,,3103,905,,,853,746,746,746,746,746,746,746,,1492,746,746,746
A,A 11500 GREY S7 CN 200KG DRUM ST,,,,,,,,,,1956,,,,,,,,,,,,,,
A,A 20470 BLAC 06 CART 300 W?ANMATBL 062,,,,,,,,601,,,,,332,259,259,259,259,259,259,,259,259,259,259
A,A 20240 TRAN S1 CART 300 W?ANWNEUCL 062,"4,493","2,419",691,5515,5551,2081,7538,3802,4186,7668,4522,6437,4147,2074,4838,4838,4147,4838,4147,4838,4147,4838,4838,4147
A,A 20240 WHIT S1 CART 300 W?ANNEUWH 062,,"2,765",,1994,1555,1584,1382,749,1037,3833,691,576,2419,2074,1728,1382,1382,1382,1382,2074,1382,1382,1382,1382
A,A 20240 GREY S2 CART 300 W?ANNEUGR 062,,"1,246",,1037,281,346,1102,,281,1800,,374,1037,1037,691,,691,691,691,691,691,691,691,691
A,A 14030 TRAN S1F CART 280 W?ANACFUCL 062,317,508,,601,634,,693,257,634,389,1267,634,317,449,535,521,528,535,515,541,515,528,554,502
A,A 14030 BLAC S1F CART 280 W?ANACFUBL 062,319,,,,,319,,,392,,412,419,166,166,,166,,166,,166,,166,,166
A,A 14030 WHIT S1F CART 280 W?ANACFUWH 062,,691,588,,390,246,657,328,328,438,1204,657,657,192,417,404,410,417,410,417,404,410,431,390
A,A 14030 GREY S2F CART 280 W?ANACFUGR 062,,,,,,,,,,,,,166,,,,166,,,,,166,,
A,A 20240 BLAC S1 KART 300 W?ANNEUBL 062,,,,684,778,269,698,,349,385,349,415,531,531,502,509,516,524,509,524,509,516,545,487
A,#VALUE!,,,940,,956,,2082,956,,3327,,,3043,1017,,,2035,1017,1017,1017,1017,1017,1017,1017
A,A 20700 GREY 100 CART 300 WLGM WZJG,734,,749,,712,,756,2592,,984,,573,632,683,683,683,683,676,705,683,852,852,705,705
A,A 11155 TRAN S1 200KG DRUM,"149,600","27,200",,106401,177200,175200,358401,417201,484600,,28920,281600,344253,264855,271099,223024,165563,227373,266345,321875,86499,365927,174113,157934
A,A 13800 RED 29 200KG DRUM ST,,,,,,,13418,,,,,,1514,1514,1514,757,1514,1514,757,1514,1514,,,
A,A 18400 TRAN S1 200KG DRUM ST,,"2,332","4,550",6790,8231,9543,16385,17765,8519,,6180,8801,53856,33660,23936,25432,10472,39644,29920,10472,,29920,11968,11220
A,A 13800 TRAN S1 200KG DRUM ST INTERNAL,"388,800","43,200",,57601,187200,,115200,173200,101400,97600,152000,216000,196600,179200,151000,123000,158000,236000,176400,195800,18800,145200,145400,128200
A,A 11155 WHIT S1 200KG DRUM ST,"27,200",,"3,200",,5600,23000,23030,21000,16000,,,11600,114000,18145,18175,18175,13010,11460,20758,16383,19163,21943,13024,13024
A,A 11155 BLAC S1 200KG DRUM ST,"2,400",,,3000,8200,1800,,3200,21400,,,,22611,13816,13816,13816,8290,6632,16579,10817,13521,16225,7550,7550
A,A 18400 WHIT S1 200KG DRUM ST,870,"2,355",,855,827,,760,,,,,,3040,1520,760,1520,760,760,2280,,1520,1520,760,760
A,A 18400 BLACK S1 200KG DRUM ST,,,,,,,,,,,,,760,,,,,,,,,,,
A,A 18400 GREY S7 200KG DRUM ST,,,,,,,,,,,,,760,,,,,,,,,,,
A,A 20251.5 TRAN S1 195KG DRUM ST,,,,129283,194976,42812,33580,51266,19799,30721,29394,33322,19110,48510,48510,44100,62475,31605,55860,43365,1470,47775,54390,49245
A,A 20242.3 YELL 13 200KG DRUM ST,"6,086",,,,,,,,,,,3814,3070,767,767,767,767,,767,,767,767,767,767
A,A 18400 BLAC S1 CART 280 3MPERU440BLAC,,,,,,,,,,,,,165,,,,,,,,,,,
A,A 18400 GREY S7 CART 280 3MPERU440GREY,,,,,,,,,,,,,165,,,,,,,,,,,
A,A 14030 GREY S7F 200KG DRUM ST,,,,,,1800,,,1530,,,,,,,,,,,,,,,400
A,A 20251.5 WHIT S1 195KG DRUM ST,,"1,622",,1443,6089,790,751,3688,5880,,,,2238,1492,2238,1492,1492,1492,1492,1492,1492,1492,1492,2238
A,A 20251.5 BLAC S1 195KG DRUM ST,,,,4367,733,,,,,720,,,739,739,,739,739,,739,,739,739,739,
A,A 20251.5 GREY S2 195KG DRUM ST,,,,,4473,,,3666,4409,1443,,,,,,742,,742,742,,742,742,742,742
A,A 20251.5 ALUM S1 195KG DRUM ST,,,747,,,,,,731,,,712,742,,,,,742,,,,742,,
A,#VALUE!,,"1,166","1,199",630,1709,690,,950,3901,1326,1140,1169,600,600,1200,1200,1200,1800,1200,1800,1800,1200,1800,1800
E,#VALUE!,,526,,,526,1051,,,,526,,,263,263,263,263,263,263,263,263,263,263,,263
E,#VALUE!,,"1,102",,398,757,405,398,750,375,,734,405,298,291,291,291,298,291,291,291,298,291,291,291
A,A 11155 BLAC S1 CART 280 WLPA SEA ZJG,"3,600","1,080",,,5040,1808,,3600,1800,1080,1155,,1260,1335,1328,1335,1335,1328,1335,1335,1328,1335,1335,1328
A,A 11155 TRAN S1 CART 280 WLPA SEA ZJG,"6,855","1,080",,,14040,6120,,11880,6120,1440,1080,,4140,4133,4140,4133,4133,4140,4133,4133,4140,4133,4133,4140
